CUSTOMER_ACCOUNT_NR_MASK,Baseline,RandomForest,GENDER,FAMILY_MEMBERS,SEG_LIFESTYLE_CD,SEG_LIFESTAGE_CD
37912.0,0.3157894736842105,0.29166666666666663,M,"(3, 8)",2,4
179359.0,0.4444444444444444,0.37681159420289856,M,"(3, 8)",2,4
295501.0,0.0,0.08163265306122448,F,"(3, 8)",2,4
396634.0,0.0,0.37209302325581395,F,"(3, 8)",2,4
423754.0,0.5555555555555556,0.5319148936170213,F,"(3, 8)",1,5
457300.0,0.25,0.631578947368421,F,"(3, 8)",3,4
681704.0,0.2,0.196078431372549,F,"(3, 8)",2,4
682808.0,0.5476190476190476,0.6000000000000001,F,"(3, 8)",3,4
731884.0,0.0,0.0,M,"(1, 2)",3,4
1051535.0,0.45454545454545453,0.2777777777777778,F,"(3, 8)",1,5
1072151.0,0.0,0.0,F,"(3, 8)",2,4
1119779.0,0.6666666666666666,0.47058823529411764,F,"(3, 8)",2,5
1133209.0,0.72,0.6769230769230768,M,"(1, 2)",3,4
1515228.0,0.4528301886792453,0.47368421052631576,F,"(3, 8)",2,4
1593868.0,0.3333333333333333,0.15,F,"(3, 8)",1,5
1610551.0,0.5714285714285713,0.45454545454545453,F,"(3, 8)",2,5
1881021.0,0.0,0.2962962962962963,F,"(3, 8)",2,5
1916490.0,0.5625000000000001,0.5818181818181818,F,"(3, 8)",2,4
1965318.0,0.41509433962264153,0.5866666666666667,F,"(3, 8)",3,5
1981739.0,0.24242424242424243,0.2962962962962963,M,"(3, 8)",1,4
2003984.0,0.4727272727272728,0.4788732394366197,F,"(3, 8)",1,4
2010692.0,0.6666666666666666,0.7169811320754716,F,"(3, 8)",3,5
2021880.0,0.5306122448979592,0.5185185185185185,F,"(1, 2)",1,4
2109697.0,0.2580645161290322,0.4109589041095891,F,"(3, 8)",1,4
2129104.0,0.5217391304347826,0.5393258426966292,F,"(3, 8)",2,4
2381096.0,0.5,0.6037735849056604,M,"(1, 2)",2,4
2455268.0,0.358974358974359,0.5,F,"(3, 8)",2,4
2523041.0,0.32,0.3728813559322034,F,"(3, 8)",3,4
2659406.0,0.42105263157894735,0.42857142857142855,F,"(1, 2)",3,5
2789797.0,0.5142857142857143,0.66,F,"(3, 8)",2,5
2849286.0,0.46875,0.6238532110091742,F,"(1, 2)",1,5
2887859.0,0.20689655172413793,0.2916666666666667,F,"(1, 2)",3,4
2890028.0,0.35714285714285715,0.25,F,"(3, 8)",1,4
2903695.0,0.09523809523809525,0.45614035087719296,F,"(3, 8)",3,5
2945756.0,0.5217391304347826,0.5490196078431373,F,"(3, 8)",2,4
3065245.0,0.6666666666666666,0.6521739130434783,F,"(3, 8)",2,4
3083880.0,0.2222222222222222,0.6206896551724138,F,"(1, 2)",2,4
3117308.0,0.0,0.0,F,"(3, 8)",3,5
3194088.0,0.5454545454545454,0.5063291139240507,F,"(1, 2)",1,4
3418370.0,0.37037037037037035,0.32911392405063294,F,"(3, 8)",2,5
3454725.0,0.5416666666666666,0.647887323943662,F,"(1, 2)",3,5
3472112.0,0.36842105263157887,0.3846153846153847,F,"(1, 2)",1,4
3475678.0,0.30303030303030304,0.4615384615384615,F,"(3, 8)",2,5
3590850.0,0.22641509433962265,0.6,F,"(1, 2)",2,4
3611317.0,0.13333333333333333,0.21276595744680848,F,"(3, 8)",1,5
