"Customer","FamilyMembers","Lifestage","Model","f1"
"37912","(3, 8)","FamilyWithKids","Baseline",0.31578947368421
"179359","(3, 8)","FamilyWithKids","Baseline",0.444444444444444
"295501","(3, 8)","FamilyWithKids","Baseline",0
"396634","(3, 8)","FamilyWithKids","Baseline",0
"423754","(3, 8)","ActiveAdults","Baseline",0.555555555555556
"457300","(3, 8)","FamilyWithKids","Baseline",0.25
"681704","(3, 8)","FamilyWithKids","Baseline",0.2
"682808","(3, 8)","FamilyWithKids","Baseline",0.547619047619048
"731884","(1, 2)","FamilyWithKids","Baseline",0
"1051535","(3, 8)","ActiveAdults","Baseline",0.454545454545454
"1072151","(3, 8)","FamilyWithKids","Baseline",0
"1119779","(3, 8)","ActiveAdults","Baseline",0.666666666666667
"1133209","(1, 2)","FamilyWithKids","Baseline",0.72
"1515228","(3, 8)","FamilyWithKids","Baseline",0.452830188679245
"1593868","(3, 8)","ActiveAdults","Baseline",0.333333333333333
"1610551","(3, 8)","ActiveAdults","Baseline",0.571428571428571
"1881021","(3, 8)","ActiveAdults","Baseline",0
"1916490","(3, 8)","FamilyWithKids","Baseline",0.5625
"1965318","(3, 8)","ActiveAdults","Baseline",0.415094339622642
"1981739","(3, 8)","FamilyWithKids","Baseline",0.242424242424242
"2003984","(3, 8)","FamilyWithKids","Baseline",0.472727272727273
"2010692","(3, 8)","ActiveAdults","Baseline",0.666666666666667
"2021880","(1, 2)","FamilyWithKids","Baseline",0.530612244897959
"2109697","(3, 8)","FamilyWithKids","Baseline",0.258064516129032
"2129104","(3, 8)","FamilyWithKids","Baseline",0.521739130434783
"2381096","(1, 2)","FamilyWithKids","Baseline",0.5
"2455268","(3, 8)","FamilyWithKids","Baseline",0.358974358974359
"2523041","(3, 8)","FamilyWithKids","Baseline",0.32
"2659406","(1, 2)","ActiveAdults","Baseline",0.421052631578947
"2789797","(3, 8)","ActiveAdults","Baseline",0.514285714285714
"2849286","(1, 2)","ActiveAdults","Baseline",0.46875
"2887859","(1, 2)","FamilyWithKids","Baseline",0.206896551724138
"2890028","(3, 8)","FamilyWithKids","Baseline",0.357142857142857
"2903695","(3, 8)","ActiveAdults","Baseline",0.0952380952380952
"2945756","(3, 8)","FamilyWithKids","Baseline",0.521739130434783
"3065245","(3, 8)","FamilyWithKids","Baseline",0.666666666666667
"3083880","(1, 2)","FamilyWithKids","Baseline",0.222222222222222
"3117308","(3, 8)","ActiveAdults","Baseline",0
"3194088","(1, 2)","FamilyWithKids","Baseline",0.545454545454545
"3418370","(3, 8)","ActiveAdults","Baseline",0.37037037037037
"3454725","(1, 2)","ActiveAdults","Baseline",0.541666666666667
"3472112","(1, 2)","FamilyWithKids","Baseline",0.368421052631579
"3475678","(3, 8)","ActiveAdults","Baseline",0.303030303030303
"3590850","(1, 2)","FamilyWithKids","Baseline",0.226415094339623
"3611317","(3, 8)","ActiveAdults","Baseline",0.133333333333333
"3700492","(3, 8)","FamilyWithKids","Baseline",0
"4081943","(3, 8)","ActiveAdults","Baseline",0.35
"4092679","(3, 8)","FamilyWithKids","Baseline",0.259259259259259
"4095466","(3, 8)","ActiveAdults","Baseline",0.434782608695652
"4210887","(1, 2)","FamilyWithKids","Baseline",0
"4252015","(1, 2)","ActiveAdults","Baseline",0.461538461538462
"4360222","(3, 8)","FamilyWithKids","Baseline",0.285714285714286
"4458410","(3, 8)","FamilyWithKids","Baseline",0.535714285714286
"4502544","(3, 8)","FamilyWithKids","Baseline",0.5
"4688795","(3, 8)","ActiveAdults","Baseline",0.52
"4820245","(3, 8)","FamilyWithKids","Baseline",0.592592592592593
"5055905","(3, 8)","FamilyWithKids","Baseline",0.542857142857143
"5070212","(1, 2)","FamilyWithKids","Baseline",0.6
"5079193","(3, 8)","FamilyWithKids","Baseline",0.333333333333333
"5090378","(3, 8)","ActiveAdults","Baseline",0.333333333333333
"5230429","(3, 8)","FamilyWithKids","Baseline",0.727272727272727
"5349257","(3, 8)","ActiveAdults","Baseline",0.533333333333333
"5486230","(3, 8)","ActiveAdults","Baseline",0.421052631578947
"5518229","(1, 2)","FamilyWithKids","Baseline",0.340425531914894
"5828081","(3, 8)","FamilyWithKids","Baseline",0.296296296296296
"5834654","(3, 8)","FamilyWithKids","Baseline",0.406779661016949
"5837307","(3, 8)","ActiveAdults","Baseline",0.111111111111111
"5900481","(1, 2)","FamilyWithKids","Baseline",0.46875
"5926514","(1, 2)","ActiveAdults","Baseline",0.56
"5932760","(3, 8)","ActiveAdults","Baseline",0
"5962226","(1, 2)","FamilyWithKids","Baseline",0.0833333333333333
"6164386","(1, 2)","FamilyWithKids","Baseline",0.571428571428571
"6227527","(3, 8)","ActiveAdults","Baseline",0
"6244357","(3, 8)","FamilyWithKids","Baseline",0.434782608695652
"6347907","(3, 8)","FamilyWithKids","Baseline",0.384615384615385
"6554495","(3, 8)","ActiveAdults","Baseline",0.64
"6589303","(3, 8)","FamilyWithKids","Baseline",0.285714285714286
"6625496","(3, 8)","FamilyWithKids","Baseline",0
"6645683","(1, 2)","ActiveAdults","Baseline",0.4
"6867147","(3, 8)","FamilyWithKids","Baseline",0.32
"6946384","(1, 2)","FamilyWithKids","Baseline",0.626865671641791
"7117945","(3, 8)","ActiveAdults","Baseline",0.16
"7125823","(1, 2)","FamilyWithKids","Baseline",0.375
"7152560","(1, 2)","FamilyWithKids","Baseline",0.516129032258065
"7193509","(3, 8)","FamilyWithKids","Baseline",0.521739130434783
"7248545","(3, 8)","ActiveAdults","Baseline",0.4
"7395471","(3, 8)","FamilyWithKids","Baseline",0.32
"7754367","(1, 2)","ActiveAdults","Baseline",0.347826086956522
"7774258","(3, 8)","ActiveAdults","Baseline",0.294117647058824
"7923839","(1, 2)","ActiveAdults","Baseline",0.5
"7943400","(3, 8)","FamilyWithKids","Baseline",0.470588235294118
"7954243","(3, 8)","ActiveAdults","Baseline",0.666666666666667
"8063255","(1, 2)","ActiveAdults","Baseline",0.222222222222222
"8128139","(1, 2)","FamilyWithKids","Baseline",0.491803278688525
"8233719","(3, 8)","FamilyWithKids","Baseline",0.111111111111111
"8406386","(1, 2)","FamilyWithKids","Baseline",0.411764705882353
"8587555","(3, 8)","FamilyWithKids","Baseline",0.24390243902439
"8607458","(3, 8)","FamilyWithKids","Baseline",0.235294117647059
"8615531","(1, 2)","FamilyWithKids","Baseline",0.0833333333333333
"8736972","(1, 2)","FamilyWithKids","Baseline",0.5
"9007266","(3, 8)","FamilyWithKids","Baseline",0.468085106382979
"9059566","(3, 8)","FamilyWithKids","Baseline",0.2
"9139989","(3, 8)","FamilyWithKids","Baseline",0.488888888888889
"9155436","(3, 8)","FamilyWithKids","Baseline",0
"9274130","(3, 8)","FamilyWithKids","Baseline",0.333333333333333
"9279821","(3, 8)","ActiveAdults","Baseline",0.64
"9298060","(3, 8)","ActiveAdults","Baseline",0.579710144927536
"9303140","(1, 2)","ActiveAdults","Baseline",0.488888888888889
"9335132","(1, 2)","FamilyWithKids","Baseline",0.375
"9354586","(3, 8)","FamilyWithKids","Baseline",0.210526315789474
"9482519","(1, 2)","FamilyWithKids","Baseline",0.555555555555556
"9493177","(3, 8)","FamilyWithKids","Baseline",0.666666666666667
"9529316","(1, 2)","ActiveAdults","Baseline",0.529411764705882
"9574087","(3, 8)","FamilyWithKids","Baseline",0.3
"9749751","(1, 2)","FamilyWithKids","Baseline",0.620689655172414
"9758155","(3, 8)","ActiveAdults","Baseline",0.524590163934426
"9805405","(1, 2)","ActiveAdults","Baseline",0.333333333333333
"9832521","(1, 2)","ActiveAdults","Baseline",0.424242424242424
"9842261","(3, 8)","FamilyWithKids","Baseline",0.424242424242424
"10105631","(1, 2)","FamilyWithKids","Baseline",0.228571428571429
"10139080","(3, 8)","FamilyWithKids","Baseline",0.363636363636364
"10257405","(3, 8)","ActiveAdults","Baseline",0.363636363636364
"10532324","(3, 8)","FamilyWithKids","Baseline",0.31578947368421
"10640319","(1, 2)","ActiveAdults","Baseline",0.28169014084507
"10801631","(3, 8)","ActiveAdults","Baseline",0.19047619047619
"10894040","(1, 2)","ActiveAdults","Baseline",0.5
"10894888","(3, 8)","ActiveAdults","Baseline",0.272727272727273
"10900743","(1, 2)","ActiveAdults","Baseline",0.2
"10911303","(3, 8)","FamilyWithKids","Baseline",0.651685393258427
"10925652","(3, 8)","ActiveAdults","Baseline",0.324324324324324
"11172871","(3, 8)","FamilyWithKids","Baseline",0.465116279069767
"11257237","(1, 2)","ActiveAdults","Baseline",0.681318681318681
"11627871","(3, 8)","FamilyWithKids","Baseline",0.266666666666667
"11729338","(3, 8)","FamilyWithKids","Baseline",0.583333333333333
"11779601","(3, 8)","FamilyWithKids","Baseline",0.485714285714286
"11852324","(3, 8)","ActiveAdults","Baseline",0.476190476190476
"11912555","(1, 2)","FamilyWithKids","Baseline",0.292682926829268
"12078622","(1, 2)","FamilyWithKids","Baseline",0.509803921568628
"12120644","(1, 2)","FamilyWithKids","Baseline",0.646464646464647
"12167956","(3, 8)","ActiveAdults","Baseline",0.592592592592593
"12177802","(1, 2)","ActiveAdults","Baseline",0.472727272727273
"12223508","(3, 8)","FamilyWithKids","Baseline",0.413793103448276
"12237973","(3, 8)","ActiveAdults","Baseline",0.566037735849057
"12257542","(3, 8)","FamilyWithKids","Baseline",0
"12276650","(3, 8)","ActiveAdults","Baseline",0.516129032258065
"12504304","(1, 2)","ActiveAdults","Baseline",0.222222222222222
"12515785","(3, 8)","FamilyWithKids","Baseline",0.619718309859155
"12845306","(3, 8)","FamilyWithKids","Baseline",0.352941176470588
"12871209","(3, 8)","FamilyWithKids","Baseline",0.341463414634146
"12962537","(1, 2)","ActiveAdults","Baseline",0.357142857142857
"12980036","(3, 8)","ActiveAdults","Baseline",0.448979591836735
"12980061","(1, 2)","FamilyWithKids","Baseline",0.0833333333333333
"13025896","(3, 8)","ActiveAdults","Baseline",0.41025641025641
"13031606","(1, 2)","FamilyWithKids","Baseline",0.338983050847458
"13046181","(3, 8)","ActiveAdults","Baseline",0.533333333333333
"13048293","(3, 8)","ActiveAdults","Baseline",0.5
"13070182","(3, 8)","FamilyWithKids","Baseline",0.326530612244898
"13248069","(3, 8)","ActiveAdults","Baseline",0
"13283749","(3, 8)","ActiveAdults","Baseline",0.296296296296296
"13337486","(3, 8)","FamilyWithKids","Baseline",0
"13363691","(1, 2)","ActiveAdults","Baseline",0.5625
"13376772","(1, 2)","FamilyWithKids","Baseline",0.430379746835443
"18885480","(1, 2)","FamilyWithKids","Baseline",0.4
"18893240","(3, 8)","ActiveAdults","Baseline",0.486486486486487
"18910735","(3, 8)","ActiveAdults","Baseline",0.296296296296296
"18915996","(3, 8)","FamilyWithKids","Baseline",0.555555555555556
"18917984","(1, 2)","FamilyWithKids","Baseline",0.5
"18926713","(3, 8)","FamilyWithKids","Baseline",0.25
