"Customer","FamilyMembers","Lifestage","Model","rocauc"
"37912","(3, 8)","FamilyWithKids","Baseline",0.657424812030075
"179359","(3, 8)","FamilyWithKids","Baseline",0.673641069887834
"295501","(3, 8)","FamilyWithKids","Baseline",0.481884057971014
"396634","(3, 8)","FamilyWithKids","Baseline",0.5
"423754","(3, 8)","ActiveAdults","Baseline",0.739655172413793
"457300","(3, 8)","FamilyWithKids","Baseline",0.550852116547554
"681704","(3, 8)","FamilyWithKids","Baseline",0.557391826923077
"682808","(3, 8)","FamilyWithKids","Baseline",0.683539603960396
"731884","(1, 2)","FamilyWithKids","Baseline",0
"1051535","(3, 8)","ActiveAdults","Baseline",0.7405
"1072151","(3, 8)","FamilyWithKids","Baseline",0
"1119779","(3, 8)","ActiveAdults","Baseline",0.781982942430704
"1133209","(1, 2)","FamilyWithKids","Baseline",0.81140350877193
"1515228","(3, 8)","FamilyWithKids","Baseline",0.684598378776713
"1593868","(3, 8)","ActiveAdults","Baseline",0.83485401459854
"1610551","(3, 8)","ActiveAdults","Baseline",0.757342657342657
"1881021","(3, 8)","ActiveAdults","Baseline",0.496240601503759
"1916490","(3, 8)","FamilyWithKids","Baseline",0.702380952380952
"1965318","(3, 8)","ActiveAdults","Baseline",0.62741935483871
"1981739","(3, 8)","FamilyWithKids","Baseline",0.646464646464646
"2003984","(3, 8)","FamilyWithKids","Baseline",0.686724137931034
"2010692","(3, 8)","ActiveAdults","Baseline",0.756326148078725
"2021880","(1, 2)","FamilyWithKids","Baseline",0.727523949889462
"2109697","(3, 8)","FamilyWithKids","Baseline",0.569900687547746
"2129104","(3, 8)","FamilyWithKids","Baseline",0.695986622073579
"2381096","(1, 2)","FamilyWithKids","Baseline",0.66547619047619
"2455268","(3, 8)","FamilyWithKids","Baseline",0.625413223140496
"2523041","(3, 8)","FamilyWithKids","Baseline",0.622596153846154
"2659406","(1, 2)","ActiveAdults","Baseline",0.665444348576359
"2789797","(3, 8)","ActiveAdults","Baseline",0.663780663780664
"2849286","(1, 2)","ActiveAdults","Baseline",0.645010395010395
"2887859","(1, 2)","FamilyWithKids","Baseline",0.570736434108527
"2890028","(3, 8)","FamilyWithKids","Baseline",0.700381679389313
"2903695","(3, 8)","ActiveAdults","Baseline",0.522217428817947
"2945756","(3, 8)","FamilyWithKids","Baseline",0.705405405405405
"3065245","(3, 8)","FamilyWithKids","Baseline",0.76299504950495
"3083880","(1, 2)","FamilyWithKids","Baseline",0.558510638297872
"3117308","(3, 8)","ActiveAdults","Baseline",0
"3194088","(1, 2)","FamilyWithKids","Baseline",0.739880952380952
"3418370","(3, 8)","ActiveAdults","Baseline",0.718253968253968
"3454725","(1, 2)","ActiveAdults","Baseline",0.697352216748768
"3472112","(1, 2)","FamilyWithKids","Baseline",0.629545454545455
"3475678","(3, 8)","ActiveAdults","Baseline",0.587509211495947
"3590850","(1, 2)","FamilyWithKids","Baseline",0.52911051212938
"3611317","(3, 8)","ActiveAdults","Baseline",0.566911764705882
"3700492","(3, 8)","FamilyWithKids","Baseline",0.5
"4081943","(3, 8)","ActiveAdults","Baseline",0.797979797979798
"4092679","(3, 8)","FamilyWithKids","Baseline",0.552846534653465
"4095466","(3, 8)","ActiveAdults","Baseline",0.638563049853372
"4210887","(1, 2)","FamilyWithKids","Baseline",0.5
"4252015","(1, 2)","ActiveAdults","Baseline",0.65
"4360222","(3, 8)","FamilyWithKids","Baseline",0.584297520661157
"4458410","(3, 8)","FamilyWithKids","Baseline",0.823170731707317
"4502544","(3, 8)","FamilyWithKids","Baseline",0.69875
"4688795","(3, 8)","ActiveAdults","Baseline",0.702173913043478
"4820245","(3, 8)","FamilyWithKids","Baseline",0.712698412698413
"5055905","(3, 8)","FamilyWithKids","Baseline",0.746588693957115
"5070212","(1, 2)","FamilyWithKids","Baseline",0.74933110367893
"5079193","(3, 8)","FamilyWithKids","Baseline",0.725874125874126
"5090378","(3, 8)","ActiveAdults","Baseline",0.597993311036789
"5230429","(3, 8)","FamilyWithKids","Baseline",0.855
"5349257","(3, 8)","ActiveAdults","Baseline",0.686118598382749
"5486230","(3, 8)","ActiveAdults","Baseline",0.638448275862069
"5518229","(1, 2)","FamilyWithKids","Baseline",0.728682170542636
"5828081","(3, 8)","FamilyWithKids","Baseline",0.607424071991001
"5834654","(3, 8)","FamilyWithKids","Baseline",0.614824797843666
"5837307","(3, 8)","ActiveAdults","Baseline",0.529411764705882
"5900481","(1, 2)","FamilyWithKids","Baseline",0.650494777350192
"5926514","(1, 2)","ActiveAdults","Baseline",0.71075
"5932760","(3, 8)","ActiveAdults","Baseline",0.487603305785124
"5962226","(1, 2)","FamilyWithKids","Baseline",0.512603305785124
"6164386","(1, 2)","FamilyWithKids","Baseline",0.751077586206897
"6227527","(3, 8)","ActiveAdults","Baseline",0.473282442748092
"6244357","(3, 8)","FamilyWithKids","Baseline",0.719465648854962
"6347907","(3, 8)","FamilyWithKids","Baseline",0.659090909090909
"6554495","(3, 8)","ActiveAdults","Baseline",0.742682926829268
"6589303","(3, 8)","FamilyWithKids","Baseline",0.577540106951872
"6625496","(3, 8)","FamilyWithKids","Baseline",0.492805755395683
"6645683","(1, 2)","ActiveAdults","Baseline",0.672462406015038
"6867147","(3, 8)","FamilyWithKids","Baseline",0.60952380952381
"6946384","(1, 2)","FamilyWithKids","Baseline",0.737480838017374
"7117945","(3, 8)","ActiveAdults","Baseline",0.583155650319829
"7125823","(1, 2)","FamilyWithKids","Baseline",0.629206212251941
"7152560","(1, 2)","FamilyWithKids","Baseline",0.694132873166523
"7193509","(3, 8)","FamilyWithKids","Baseline",0.685266630016492
"7248545","(3, 8)","ActiveAdults","Baseline",0.845802919708029
"7395471","(3, 8)","FamilyWithKids","Baseline",0.595867768595041
"7754367","(1, 2)","ActiveAdults","Baseline",0.598955470038483
"7774258","(3, 8)","ActiveAdults","Baseline",0.642441860465116
"7923839","(1, 2)","ActiveAdults","Baseline",0.844951923076923
"7943400","(3, 8)","FamilyWithKids","Baseline",0.673183497536946
"7954243","(3, 8)","ActiveAdults","Baseline",0.813352826510721
"8063255","(1, 2)","ActiveAdults","Baseline",0.72841726618705
"8128139","(1, 2)","FamilyWithKids","Baseline",0.67375366568915
"8233719","(3, 8)","FamilyWithKids","Baseline",0.721014492753623
"8406386","(1, 2)","FamilyWithKids","Baseline",0.698818897637795
"8587555","(3, 8)","FamilyWithKids","Baseline",0.631118881118881
"8607458","(3, 8)","FamilyWithKids","Baseline",0.587439903846154
"8615531","(1, 2)","FamilyWithKids","Baseline",0.501587301587302
"8736972","(1, 2)","FamilyWithKids","Baseline",0.666666666666667
"9007266","(3, 8)","FamilyWithKids","Baseline",0.654692082111437
"9059566","(3, 8)","FamilyWithKids","Baseline",0.548268238761975
"9139989","(3, 8)","FamilyWithKids","Baseline",0.692520265291083
"9155436","(3, 8)","FamilyWithKids","Baseline",0.5
"9274130","(3, 8)","FamilyWithKids","Baseline",0.717171717171717
"9279821","(3, 8)","ActiveAdults","Baseline",0.79059829059829
"9298060","(3, 8)","ActiveAdults","Baseline",0.715873015873016
"9303140","(1, 2)","ActiveAdults","Baseline",0.699579831932773
"9335132","(1, 2)","FamilyWithKids","Baseline",0.623397435897436
"9354586","(3, 8)","FamilyWithKids","Baseline",0.561298076923077
"9482519","(1, 2)","FamilyWithKids","Baseline",0.769480519480519
"9493177","(3, 8)","FamilyWithKids","Baseline",0.771439708939709
"9529316","(1, 2)","ActiveAdults","Baseline",0.680743243243243
"9574087","(3, 8)","FamilyWithKids","Baseline",0.583137829912024
"9749751","(1, 2)","FamilyWithKids","Baseline",0.768331226295828
"9758155","(3, 8)","ActiveAdults","Baseline",0.733793103448276
"9805405","(1, 2)","ActiveAdults","Baseline",0.592976588628763
"9832521","(1, 2)","ActiveAdults","Baseline",0.637286324786325
"9842261","(3, 8)","FamilyWithKids","Baseline",0.650206611570248
"10105631","(1, 2)","FamilyWithKids","Baseline",0.593023255813953
"10139080","(3, 8)","FamilyWithKids","Baseline",0.611379310344828
"10257405","(3, 8)","ActiveAdults","Baseline",0.711188811188811
"10532324","(3, 8)","FamilyWithKids","Baseline",0.680703624733476
"10640319","(1, 2)","ActiveAdults","Baseline",0.568134607395098
"10801631","(3, 8)","ActiveAdults","Baseline",0.550793650793651
"10894040","(1, 2)","ActiveAdults","Baseline",0.726744186046512
"10894888","(3, 8)","ActiveAdults","Baseline",0.576273388773389
"10900743","(1, 2)","ActiveAdults","Baseline",0.572222222222222
"10911303","(3, 8)","FamilyWithKids","Baseline",0.736135758651287
"10925652","(3, 8)","ActiveAdults","Baseline",0.59653647752395
"11172871","(3, 8)","FamilyWithKids","Baseline",0.681054239877769
"11257237","(1, 2)","ActiveAdults","Baseline",0.758400537634409
"11627871","(3, 8)","FamilyWithKids","Baseline",0.585
"11729338","(3, 8)","FamilyWithKids","Baseline",0.767761650114591
"11779601","(3, 8)","FamilyWithKids","Baseline",0.65515873015873
