CUSTOMER_ACCOUNT_NR_MASK,SUBCAT_CD_EXT,PROBABILITIES
31655,80411,
31655,80405,
31655,20302,
31655,20303,
31655,140304,
31655,100102,
31655,80407,
31655,170303,
31655,80404,
31655,70202,
31655,140303,
31655,50203,
31655,140301,
31655,70206,
31655,170307,
31655,170302,
31655,80413,
31655,170313,
31655,80415,
31655,70201,
36467,100101,
36467,170106,
36467,80405,
36467,10301,
36467,170313,
36467,80411,
36467,170309,
36467,70202,
36467,70202,
36467,50201,
36467,170309,
36467,80403,
36467,50202,
36467,80403,
36467,50201,
36467,80409,
36467,140303,
36467,50201,
36467,80414,
36467,80411,
37912,170313,
37912,30203,
37912,80407,
37912,10301,
37912,10305,
37912,70205,
37912,10302,
37912,80408,
37912,100102,
37912,170303,
37912,80407,
37912,80406,
37912,140304,
37912,170307,
37912,170313,
37912,50202,
37912,70204,
37912,20301,
37912,80407,
37912,80402,
53914,80407,
53914,100102,
53914,170105,
53914,80408,
53914,170307,
53914,50201,
53914,10303,
53914,100101,
53914,70203,
53914,60304,
53914,140303,
53914,170313,
53914,70204,
53914,100102,
53914,30208,
53914,80401,
53914,80414,
53914,10305,
53914,170303,
53914,100101,
65921,10303,
65921,70206,
65921,50202,
65921,170309,
65921,80408,
65921,170302,
65921,20304,
65921,170307,
65921,100102,
65921,80413,
65921,80405,
65921,70202,
65921,80403,
65921,170304,
65921,10302,
65921,80407,
65921,170305,
65921,140304,
65921,80402,
65921,10305,
79998,170101,
79998,140303,
79998,100101,
79998,80411,
79998,70204,
79998,80402,
79998,80408,
79998,20301,
79998,50201,
79998,10302,
79998,80404,
79998,80414,
79998,140302,
79998,50201,
79998,70206,
79998,80403,
79998,70206,
79998,170310,
79998,170301,
79998,20302,
84189,20303,
84189,170304,
84189,50201,
84189,80415,
84189,170309,
84189,80409,
84189,170305,
84189,20303,
84189,100102,
84189,170302,
84189,170310,
84189,10305,
84189,30208,
84189,10302,
84189,170310,
84189,80409,
84189,30205,
85110,80411,
85110,80403,
85110,60401,
85110,170307,
85110,50301,
85110,170307,
85110,80408,
85110,70205,
85110,10305,
85110,170303,
85110,70203,
85110,140304,
85110,20302,
85110,140301,
85110,80411,
85110,170310,
85110,70201,
85110,80411,
85110,140304,
85110,80407,
87883,70202,
87883,170105,
87883,170307,
87883,80406,
87883,80407,
87883,80102,
87883,100101,
87883,80401,
87883,20303,
87883,10303,
87883,170310,
87883,170307,
87883,80406,
87883,140304,
87883,170302,
87883,80405,
87883,80406,
87883,80404,
87883,50202,
87883,170303,
95566,170313,
95566,10302,
95566,70201,
95566,20304,
95566,170302,
95566,10305,
95566,80407,
95566,20301,
95566,30208,
95566,50201,
95566,80413,
95566,80401,
95566,10302,
95566,70201,
95566,10303,
95566,80401,
95566,170301,
